index,mapped_rxn
0,[CH3:1][C@:2]1([CH:3]=[CH2:4])[CH2:13][CH2:14][C@H:15]2[C:16](=[CH:17][CH2:18][C@@H:19]3[C@:20]2([CH3:21])[CH2:22][CH2:23][CH2:24][C@@:25]3([CH3:26])[C:27](=[O:28])[OH:29])[CH2:30]1.I[c:5]1[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][cH:12]1>>[CH3:1][C@:2]1(/[CH:3]=[CH:4]/[c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][cH:12]2)[CH2:13][CH2:14][C@H:15]2[C:16](=[CH:17][CH2:18][C@@H:19]3[C@:20]2([CH3:21])[CH2:22][CH2:23][CH2:24][C@@:25]3([CH3:26])[C:27](=[O:28])[OH:29])[CH2:30]1
1,[CH3:1][O:2][C:3](=[O:4])[CH:5]=[CH2:6].Br[c:7]1[cH:8][cH:9][c:10]([CH:11]([c:12]2[cH:13][cH:14][c:15]([O:16][CH3:17])[c:18]([O:19][CH3:20])[cH:21]2)[c:22]2[cH:23][cH:24][c:25]([O:26][CH3:27])[c:28]([O:29][CH3:30])[cH:31]2)[cH:32][cH:33]1>>[CH3:1][O:2][C:3](=[O:4])/[CH:5]=[CH:6]/[c:7]1[cH:8][cH:9][c:10]([CH:11]([c:12]2[cH:13][cH:14][c:15]([O:16][CH3:17])[c:18]([O:19][CH3:20])[cH:21]2)[c:22]2[cH:23][cH:24][c:25]([O:26][CH3:27])[c:28]([O:29][CH3:30])[cH:31]2)[cH:32][cH:33]1
2,[CH3:1][O:2][C:3](=[O:4])[CH:5]=[CH2:6].Br[c:7]1[cH:8][cH:9][c:10]([CH:11]([c:12]2[cH:13][c:14]([CH3:15])[cH:16][cH:17][c:18]2[O:19][CH3:20])[c:21]2[cH:22][c:23]([CH3:24])[cH:25][cH:26][c:27]2[O:28][CH3:29])[cH:30][cH:31]1>>[CH3:1][O:2][C:3](=[O:4])/[CH:5]=[CH:6]/[c:7]1[cH:8][cH:9][c:10]([CH:11]([c:12]2[cH:13][c:14]([CH3:15])[cH:16][cH:17][c:18]2[O:19][CH3:20])[c:21]2[cH:22][c:23]([CH3:24])[cH:25][cH:26][c:27]2[O:28][CH3:29])[cH:30][cH:31]1
3,[CH2:15]=[CH:16][C:17](=[O:18])[O:19][C:20]([CH3:21])([CH3:22])[CH3:23].Br[c:14]1[cH:13][cH:12][c:11]([CH:10]([c:9]2[c:3]([O:2][CH3:1])[cH:4][cH:5][c:6]([CH3:7])[cH:8]2)[c:26]2[cH:27][c:28]([CH3:29])[cH:30][cH:31][c:32]2[O:33][CH3:34])[cH:25][cH:24]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH3:7])[cH:8][c:9]1[CH:10]([c:11]1[cH:12][cH:13][c:14](/[CH:15]=[CH:16]/[C:17](=[O:18])[O:19][C:20]([CH3:21])([CH3:22])[CH3:23])[cH:24][cH:25]1)[c:26]1[cH:27][c:28]([CH3:29])[cH:30][cH:31][c:32]1[O:33][CH3:34]
4,[cH:10]1[cH:11][n:12][cH:13][cH:14][c:24]1[CH:23]=[CH2:22].Br[c:6]1[cH:5][c:4]2[c:17]([cH:16][cH:15]1)-[c:18]1[cH:19][cH:7][c:21](Br)[cH:30][c:31]1[Si:2]2([CH3:1])[CH3:3]>>[CH3:1][Si:2]1([CH3:3])[c:4]2[cH:5][c:6](/[CH:7]=[CH:8]/[c:9]3[cH:10][cH:11][n:12][cH:13][cH:14]3)[cH:15][cH:16][c:17]2-[c:18]2[cH:19][cH:20][c:21](/[CH:22]=[CH:23]/[c:24]3[cH:25][cH:26][n:27][cH:28][cH:29]3)[cH:30][c:31]21
5,I[c:16]1[cH:17][cH:18][c:19]([Br:20])[cH:21][cH:22]1.[O:1]=[N+:2]([O-:3])[c:4]1[cH:5][cH:6][c:7]([CH:8]=[CH:9][c:10]2[cH:11][cH:12][c:13]([CH:14]=[CH2:15])[cH:23][cH:24]2)[cH:25][cH:26]1>>[O:1]=[N+:2]([O-:3])[c:4]1[cH:5][cH:6][c:7]([CH:8]=[CH:9][c:10]2[cH:11][cH:12][c:13]([CH:14]=[CH:15][c:16]3[cH:17][cH:18][c:19]([Br:20])[cH:21][cH:22]3)[cH:23][cH:24]2)[cH:25][cH:26]1
6,[CH2:8]=[CH:9][c:10]1[cH:11][cH:12][c:13]([CH:14]=[CH2:15])[cH:25][cH:26]1.Br[c:7]1[cH:6][cH:5][c:4]([N+:2](=[O:1])[O-:3])[cH:28][cH:27]1.Br[c:16]1[cH:17][cH:18][c:19]([N+:20](=[O:21])[O-:22])[cH:23][cH:24]1>>[O:1]=[N+:2]([O-:3])[c:4]1[cH:5][cH:6][c:7](/[CH:8]=[CH:9]/[c:10]2[cH:11][cH:12][c:13](/[CH:14]=[CH:15]/[c:16]3[cH:17][cH:18][c:19]([N+:20](=[O:21])[O-:22])[cH:23][cH:24]3)[cH:25][cH:26]2)[cH:27][cH:28]1
7,[CH3:1][c:2]1[n:3][cH:4][s:5][c:6]1[CH:7]=[CH2:8].I[c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1>>[CH3:1][c:2]1[n:3][cH:4][s:5][c:6]1/[CH:7]=[CH:8]/[c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1
8,[CH2:7]=[CH:8][c:9]1[cH:10][cH:11][c:12]([CH:13]=[CH2:14])[cH:23][cH:24]1.Br[c:6]1[cH:5][cH:4][c:3]([CH:2]=[O:1])[cH:26][cH:25]1.Br[c:15]1[cH:16][cH:17][c:18]([CH:19]=[O:20])[cH:21][cH:22]1>>[O:1]=[CH:2][c:3]1[cH:4][cH:5][c:6](/[CH:7]=[CH:8]/[c:9]2[cH:10][cH:11][c:12](/[CH:13]=[CH:14]/[c:15]3[cH:16][cH:17][c:18]([CH:19]=[O:20])[cH:21][cH:22]3)[cH:23][cH:24]2)[cH:25][cH:26]1
9,[CH2:6]=[CH:7][c:8]1[cH:9][cH:10][c:11]([CH:12]=[CH2:13])[cH:21][cH:22]1.Br[c:5]1[cH:4][cH:3][c:2]([OH:1])[cH:24][cH:23]1.Br[c:14]1[cH:15][cH:16][c:17]([OH:18])[cH:19][cH:20]1>>[OH:1][c:2]1[cH:3][cH:4][c:5](/[CH:6]=[CH:7]/[c:8]2[cH:9][cH:10][c:11](/[CH:12]=[CH:13]/[c:14]3[cH:15][cH:16][c:17]([OH:18])[cH:19][cH:20]3)[cH:21][cH:22]2)[cH:23][cH:24]1
